awardID,fiscalYear,currentValue,duns,companyCongCode,performanceCongCode
70CMSD18P00000077,2018,5840,101760734,4706,4706
70CMSD18P00000078,2018,46945,799056143,617,617
70CMSD18P00000080,2018,3775.36,78857127,5102,2614
70CMSD18P00000082,2018,6940,80040706,3203,5111
70CMSD18P00000084,2018,24260.28,71017115,3612,3612
70CMSD18P00000086,2018,76498.25,148301935,2201,2201
70CMSD18P00000087,2018,525,65320400,502,502
70CMSD18P00000089,2018,6417.12,33174293,1501,1501
70CMSD18P00000090,2018,3600,408140007,1803,1501
70CMSD18P00000091,2018,8487.04,78857127,5102,2508
70CMSD18P00000092,2018,5831.59,78277396,4103,4103
70CMSD18P00000093,2018,5521.95,5069760,1710,3903
70CMSD18P00000094,2018,5487.58,92658152,3608,3608
70CMSD18P00000095,2018,23898.72,968908124,4818,612
70CMSD18P00000096,2018,5775,85783707,5505,5505
70CMSD18P00000097,2018,10657.7,60643533,1501,1501
70CMSD18P00000099,2018,16800,85189089,4807,4807
70CMSD18P00000100,2018,5280,969239529,3202,2614
70CMSD18P00000101,2018,8000,350663899,****,****
70CMSD18P00000102,2018,5710.74,808068253,1710,1707
70CMSD18P00000104,2018,10210,958313769,804,804
70CMSD18P00000105,2018,9659.31,533518072,2407,2407
70CMSW18D00000001,2018,0,79728394,2706,****
70CMSW18FACR00002,2018,23389.17,198350394,2403,1100
70CMSW18FACR00003,2018,3615.12,81466849,617,617
70CMSW18FC0000001,2018,4761.65,790801765,2104,4818
70CMSW18FC0000002,2018,4326,790818772,4821,4821
70CMSW18FC0000003,2018,130010.68,78857127,5102,5102
70CMSW18FC0000004,2018,30613.45,78857127,5102,5102
70CMSW18FC0000005,2018,106000,624408167,4821,4821
70CMSW18FC0000006,2018,1776.62,3073525,2407,651
70CMSW18FC0000007,2018,9604.7,78857127,5102,1302
70CMSW18FC0000008,2018,471096.64,194508131,3618,3618
70CMSW18FC0000011,2018,110413.1,54038138,1208,1302
70CMSW18FC0000012,2018,193911.3,3073525,2407,2407
70CMSW18FC0000013,2018,182746.55,3073525,2407,2407
70CMSW18FC0000014,2018,56815,78857127,5102,1302
70CMSW18FC0000015,2018,192202.04,78857127,5102,5102
70CMSW18FC0000016,2018,115422.3,6012801,2602,5000
70CMSW18FC0000017,2018,179089.92,54038138,1208,1302
70CMSW18FC0000018,2018,19353.6,78857127,5102,5102
70CMSW18FC0000019,2018,235220,78857127,5102,5102
70CMSW18FC0000020,2018,23160.26,3073525,2407,2407
70CMSW18FC0000021,2018,321966.68,3073525,2407,3410
70CMSW18FC0000022,2018,101441.97,3073525,2407,903
70CMSW18FC0000023,2018,170325.35,3073525,2407,3627
70CMSW18FC0000024,2018,15228.21,3073525,2407,2407
70CMSW18FC0000025,2018,1168999.5,347201258,5108,1100
70CMSW18FC0000026,2018,6707.4,3073525,2407,2407
70CMSW18FC0000027,2018,9724,790801765,2104,2104
70CMSW18FC0000029,2018,5038,3073525,2407,2407
70CMSW18FC0000030,2018,183628.22,3073525,2407,2407
70CMSW18FC0000032,2018,252992.06,3073525,2407,2407
70CMSW18FC0000033,2018,56684,78857127,5102,5102
70CMSW18FC0000034,2018,134696,78857127,5102,5102
70CMSW18FC0000036,2018,10000,31689583,1227,1100
70CMSW18FC0000037,2018,11500,78857127,5102,5102
70CMSW18FC0000038,2018,5175,790801765,2104,2104
70CMSW18FC0000039,2018,11239.16,3073525,2407,1100
70CMSW18FC0000040,2018,3008,78857127,5102,5102
70CMSW18FC0000041,2018,87841.41,3073525,2407,3626
70CMSW18FC0000042,2018,4822.27,3073525,2407,2407
70CMSW18FC0000043,2018,9824.1,3073525,2407,2407
70CMSW18FC0000044,2018,11290.88,3073525,2407,2407
70CMSW18FC0000046,2018,10336,3073525,2407,2407
70CMSW18FC0000049,2018,14747.7,78857127,5102,5102
70CMSW18FC0000050,2018,9350,790801765,2104,4818
70CMSW18FC0000052,2018,9275,790801765,2104,407
70CMSW18FC0000053,2018,11050,790801765,2104,606
70CMSW18FC0000055,2018,4975,790801765,2104,1707
70CMSW18FC0000057,2018,31897.81,3073525,2407,2407
70CMSW18FC0000058,2018,31718.06,3073525,2407,5103
70CMSW18FC0000059,2018,11325,790801765,2104,4816
70CMSW18FC0000061,2018,9050,790801765,2104,1100
70CMSW18FC0000062,2018,100675.17,3073525,2407,1226
70CMSW18FC0000063,2018,99498.13,3073525,2407,7200
70CMSW18FC0000064,2018,5275,790801765,2104,4506
70CMSW18FC0000065,2018,246920.7,3073525,2407,4204
70CMSW18FC0000066,2018,49835.42,3073525,2407,1305
70CMSW18FC0000067,2018,3553.25,3073525,2407,407
70CMSW18FC0000069,2018,22771.98,614386019,2404,1305
70CMSW18FC0000070,2018,8548,3073525,2407,5307
70CMSW18FC0000072,2018,10035.64,3073525,2407,2103
70CMSW18FR0000001,2018,30618,2344208,4705,1301
70CMSW18FR0000002,2018,2889710.08,622692994,4820,3627
70CMSW18FR0000003,2018,3500,3141970,4709,1100
70CMSW18FR0000004,2018,10520,85698900,1218,1218
70CMSW18FR0000005,2018,3500,6991681,2103,1100
70CMSW18FR0000006,2018,275630,79728394,2706,2706
70CMSW18FR0000007,2018,5862.5,10891187,4831,4831
70CMSW18FR0000008,2018,38153.6,861004349,632,632
70CMSW18FR0000009,2018,14696.64,2344208,4705,4705
70CMSW18FR0000010,2018,1164587.95,78770392,3301,3301
70CMSW18FR0000011,2018,56490,1519248,3408,3408
