lat,lon,detloc,name,city,state
39.154479,-75.487962,DVDHOLD,DOVER HOLDROOM,DOVER,DE
44.788235,-69.730034,SOMERME,SOMERSET COUNTY JAIL,MADISON,ME
34.147078,-118.248923,GLEPDCA,GLENDALE POLICE DEPARTMENT,GLENDALE,CA
38.474198,-77.99681,CULPEVA,CULPEPER COUNTY ADULT DETENTION CENTER,CULPEPER,VA
33.578609,-102.377737,HOKLYTX,HOCKLEY COUNTY JAIL,LEVELLAND,TX
41.50876,-90.581441,RCKISIL,ROCK ISLAND CORRECTIONAL CENTER,ROCK ISLAND,IL
25.459728,-80.493501,DADECFL,DADE COUNTY CORRECTIONAL,MIAMI,FL
42.981885,-85.061803,IONIAMI,IONIA COUNTY,IONIA,MI
39.737347,-104.991575,DENCICO,DENVER CITY PADF,DENVER,CO
25.811648,-80.348638,BOPMIA,MIAMI FEDERAL CORRECTIONAL INSTITUTE (FORMER MCC),MIAMI,FL
39.206827,-95.311336,JEFFEKS,JEFFERSON COUNTY JAIL,OSKALOOSA,KS
40.491585,-111.4119,WASATUT,WASATCH COUNTY JAIL,HEBER,UT
41.422356,-75.647859,LACKAPA,LACKAWANNA COUNTY JAIL,SCRANTON,PA
43.080705,-75.707453,MADISNY,MADISON COUNTY JAIL,WAMPSVILLE,NY
47.478771,-122.284152,ECOLOWA,ECONOLODGE MOTEL,TUKWILA,WA
39.245742,-94.419427,CLACOMO,CLAY COUNTY JAIL,LIBERTY,MO
44.943831,-93.092953,RAJAIMN,RAMSEY COUNTY JAIL,ST. PAUL,MN
43.000862,-78.19385,GENESNY,GENESEE COUNTY JAIL,BATAVIA,NY
44.414611,-103.515531,MEADESD,MEADE COUNTY,STURGIS,SD
25.787594,-80.215003,CEMEDFL,CEDARS MEDICAL CENTER,MIAMI,FL
25.787594,-80.215003,UMIAHFL,UNIVERSITY OF MIAMI HOSPITAL,MIAMI,FL
42.500678,-96.404997,SXCHOLD,SIOUX CITY HOLD ROOM,SIOUX CITY,IA
41.313975,-81.737186,NOROYOH,NORTH ROYALTON CITY JAIL,N. ROYALTON,OH
25.79524,-80.207017,WDMIAFL,WOMENS DETENTION CENTER,MIAMI,FL
26.156896,-97.710327,RGHOSTX,RIO GRANDE STREET HOSPITAL,HARLINGEN,TX
32.94402,-103.342405,LEACONM,LEA COUNTY DETENTION CENTER,LOVINGTON,NM
44.532144,-109.060768,PARKCWY,PARK COUNTY JAIL,CODY,WY
47.171977,-122.602574,WAMCNEI,MCNEIL ISLAND CORRECTIONS,STEILACOOM,WA
37.079002,-106.00492,CONEJCO,CONEJOS COUNTY JAIL,ANTONITO,CO
39.429059,-77.949736,WVEASTR,EASTERN REGIONAL JAIL,MARTINSBURG,WV
46.721847,-92.097951,DOUGLWI,DOUGLAS COUNTY,SUPERIOR,WI
39.198487,-78.146401,NWREGVA,NORTHWEST REGIONAL ADULT DETENTION CENTER,WINCHESTER,VA
39.198487,-78.146401,CFREDVA,CLARKE FREDK WINCH.,WINCHESTER,VA
32.723866,-114.623297,YUMAJAZ,YUMA COUNTY JAIL - ADULTS,YUMA,AZ
39.519917,-122.199577,GLENNCA,GLENN COUNTY JAIL,WILLOWS,CA
37.694718,-97.339496,SEDGWKS,SEDGWICK COUNTY JAIL,WICHITA,KS
29.574893,-95.753772,FTBENTX,FORT BEND COUNTY JAIL,RICHMOND,TX
30.032434,-92.176655,VERMILA,VERMILLION PARISH JAIL,ABBEVILLE,LA
33.39273,-110.777248,GIJUVAZ,GILA COUNTY JUVENILE DETENTION CENTER,GLOBE,AZ
38.890046,-77.083662,ARLCOVA,ARLINGTON COUNTY JAIL,ARLINGTON,VA
40.667975,-73.798131,HOLINNY,HOLIDAY INN,JAMAICA,NY
48.552963,-109.706549,HILLCMT,HILL COUNTY DETENTION CENTER,HAVRE,MT
43.968203,-111.6807,FREMOID,FREMONT COUNTY JAIL,ST. ANTHONY,ID
39.59684,-78.753103,BOPCUM,CUMBERLAND FEDERAL CORRECTIONAL INSTITUTE,CUMBERLAND,MD
26.181372,-98.139197,HOSPSPR,HOSPITAL PAVIA-SANTURCE,SAN JUAN,PR
48.365698,-119.58164,OKANOWA,OKANOGAN COUNTY,OKANOGAN,WA
37.132993,-107.633162,SOUTECO,SOUTHERN UTE DETENTION CENTER,IGNACIO,CO
45.061416,-92.84736,WAJUVMN,WASHINGTON COUNTY,STILLWATER,MN
47.625111,-122.321028,AROOSME,AROOSTOOK COUNTY JAIL,HOULTON,ME
43.826734,-111.778072,MADISID,MADISON COUNTY JAIL,REXBURG,ID
42.779544,-96.93645,CLACOSD,CLAY COUNTY JAIL,VERMILLION,SD
42.852063,-106.324939,CSPHOLD,CASPER HOLDROOM,CASPER,WY
40.713055,-74.001308,BOPNYM,NEW YORK MCC,NEW YORK,NY
39.7095,-104.791098,AURORCO,AURORA CITY JAIL,AURORA,CO
40.794424,-73.883997,RIKISNY,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NY
42.277476,-85.548217,KALAMMI,KALAMAZOO COUNTY,KALAMAZOO,MI
30.593393,-87.897945,DAPHNAL,DAPHNE POLICE DEPARTMENT CORRECTIONAL CENTER,DAPHNE,AL
33.0297,-84.329242,GABAPGA,GEORGIA BAPTIST CHILDREN HOME,MEANSVILLE,GA
42.74385,-78.132652,WYMCONY,WYOMING COUNTY JAIL,WARSAW,NY
33.977986,-117.65062,CAYTHGS,HERMAN G. STARKS YTS,CHINO,CA
36.2197,-115.982888,NYEPANV,"NYE COUNTY DETENTION CENTER, SOUTHERN (PAHRUMP)",PAHRUMP,NV
32.717064,-109.727016,BOPSAF,SAFFORD FEDERAL CORRECTIONAL INSTITUTE,SAFFORD,AZ
30.474525,-84.350983,TALHOLD,TALLAHASSEE HOLD ROOM,TALLAHASSEE,FL
46.015268,-112.538768,SILBOMT,BUTTE-SILVER BOW COUNTY JAIL,BUTTE,MT
37.764806,-90.438798,STFRAMO,ST. FRANCOIS COUNTY JAIL,FARMINGTON,MO
41.540658,-96.135149,WASHINE,WASHINGTON CO JAIL (BLAIR),BLAIR,NE
35.321362,-120.72905,SLOBICA,SAN LUIS OBISPO CO JAIL,SAN LUIS OBISPO,CA
35.042547,-85.276695,HAMILTN,HAMILTON COUNTY,CHATTANOOGA,TN
26.101934,-80.142373,BRGMCFL,BROWARD GENERAL MEDICAL CENTER,FT. LAUDERDALE,FL
38.290962,-104.62762,COMHICO,COLORADO MENTAL HEALTH INSTITUTE,PUEBLO,CO
32.554014,-97.110935,MANSFTX,MANSFIELD LAW ENFORCEMENT CENTER,MANSFIELD,TX
32.22874,-111.001362,STMARAZ,ST MARY'S HOSPITAL,TUCSON,AZ
34.063436,-118.205833,ELJUVCA,EASTLAKE JUVENILE HALL,LOS ANGELES,CA
25.790555,-80.21497,JMHOSFL,JACKSON MEMORIAL HOSPITAL,MIAMI,FL
41.90122,-87.883828,STOPDIL,STONE PARK POLICE DEPARTMENT,STONE PARK,IL
28.481015,-82.461853,HERNAFL,HERNANDO COUNTY JAIL,BROOKSVILLE,FL
42.367389,-85.194996,BHFLDMI,BRONSON HOSPITAL FIELDSTONE CENTER,BATTLE CREEK,MI
48.649506,-118.733681,FERRYWA,FERRY COUNTY JAIL,REPUBLIC,WA
35.149645,-90.051203,USMWDTN,US MARSHALS (WEST TENNESSEE DISTRICT),MEMPHIS,TN
44.099225,-103.264652,RPCHOLD,RAPID CITY HOLD ROOM,RAPID CITY,SD
47.451997,-122.295535,RRFINWA,RED ROOF INN,SEATAC,WA
13.444257,144.786297,DEPYOGU,DEPARTMENT OF YOUTH AFFAIRS,BARRIGADA,GU
39.959492,-75.606033,CHESTPA,CHESTER COUNTY JAIL (PENNSYLVANIA),WEST CHESTER,PA
37.238597,-87.465432,LSHOSMA,LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,MA
41.391967,-75.073669,PKEHOLD,PIKE COUNTY ERO HOLD ROOM,HAWLEY,PA
32.275889,-107.77686,LUNCONM,LUNA COUNTY DETENTION CENTER,DEMING,NM
32.226754,-101.516395,BSCHOLD,BIG SPRING HOLD ROOM,BIG SPRING,TX
37.548158,-77.422476,RICHMVA,RICHMOND CITY JAIL,RICHMOND,VA
42.686609,-74.918022,OTSEGNY,OTSEGO COUNTY JAIL,COOPERSTOWN,NY
31.396802,-103.502757,PECOSTX,PECOS CRIMINAL JUSTICE CENTER,PECOS,TX
34.051014,-118.217417,WMHOSCA,WHITE MEMORIAL HOSPITAL,LOS ANGELES,CA
39.109423,-119.738347,NVNORCC,NORTHERN NEVADA CORRECTIONAL CENTER,CARSON CITY,NV
41.826014,-103.660426,SCOTTNE,SCOTTS BLUFF COUNTY JAIL,GERING,NE
32.468207,-81.761834,BULLOGA,BULLOCK COUNTY JAIL,STATESBORO,GA
35.505599,-119.108574,KERCOCA,KERN COUNTY JAIL (LERDO),BAKERSFIELD,CA
35.020777,-94.38913,HARFOCT,HARTFORD CORRECTIONAL CENTER,HARTFORD,CT
42.658805,-88.464512,WALWOWI,WALWORTH COUNTY JAIL,ELKHORN,WI
40.013873,-105.287301,BOULDCO,BOULDER COUNTY JAIL,BOULDER,CO
41.369853,-82.110202,ELYRIOH,ELYRIA CITY JAIL,ELYRIA,OH
44.254955,-105.518371,TETONWY,TETON COUNTY JAIL (WYOMING),JACKSON,WY
46.266188,-106.672947,ROSEBMT,ROSEBUD COUNTY JAIL,FORSYTH,MT
32.879519,-111.749695,CGRMCAZ,CASA GRANDE REGIONAL MEDICAL CENTER,CASA GRANDE,AZ
26.470653,-97.76112,WILLCTX,WILLACY DETENTION CENTER,RAYMONDVILLE,TX
