duns,cleanName,vendorName,origName,url
804703973,Human Resources Institute,HUMAN RESOURCES INSTITUTE INC,HUMAN RESOURCES INSTITUTE INCORPORATED,http://www.federaltraining.com
809887164,Thundercat Technology,"Thundercat Technology, LLC","THUNDERCAT TECHNOLOGY, LLC",
33095568,Cellebrite,Cellebrite Inc.,CELLEBRITE USA CORP,
137072729,Singhal & Co,"Singhal & Co, Inc","SINGHAL & CO, INC",
43957141,Adaptive Digital Systems,"Adaptive Digital Systems, Inc.","ADAPTIVE DIGITAL SYSTEMS, INC.",
113188770,Specialty Vehicle Solutions,"Specialty Vehicle Solutions, LLC",SPECIALTY VEHICLE SOLUTIONS LIMITED LIABILITY COMPANY,
825487130,Hamilton Enterprises,"Hamilton Enterprises, LLC","HAMILTON ENTERPRISES, LLC",
932469612,C & C International Computers & Consultants,"C & C International Computers & Consultants, Inc.","C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",
961600272,Govsmart,"Govsmart, Inc.","GOVSMART, INC.",
603814054,Government Acquisitions,"Government Acquisitions, Inc.","GOVERNMENT ACQUISITIONS, INC.",
784635021,Data Facts,Data Facts Inc,DATA FACTS INC,
948396890,JTF Business Systems Corporation,Jtf Business Systems Corporation,JTF BUSINESS SYSTEMS INC,
86438152,Technical Communities,"Technical Communities, Inc.",TECHNICAL COMMUNITIES INCORPORATED,
362130952,Palantir Technologies,Palantir Technologies Inc.,PALANTIR TECHNOLOGIES INC.,
831127738,Giant Oak,"Giant Oak, Inc.","GIANT OAK, INC.",
28525582,International Television,International Television Corp,INTERNATIONAL TELEVISION CORP,
607775848,Tactical & Survival Specialties,"Tactical & Survival Specialties, Inc.","TACTICAL & SURVIVAL SPECIALTIES, INC.",http://www.tssi-ops.com
879774248,SAI Systems International,"SAI Systems International, Inc.",SAI SYSTEMS INTERNATIONAL INCORPORATED,
48596811,Automation Aids,"Automation Aids, Inc.","AUTOMATION AIDS, INC",
132286332,Blue Fish Worx,Blue Fish Worx LLC,"BLUE FISH WORX, L.P.",
806780730,New York State Department of Motor Vehicles,New York State Department of Motor Vehicles,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",
118727283,Compu Dynamics,"Compu Dynamics, LLC","COMPU DYNAMICS, LLC",
182546234,APL Access & Security,"APL Access & Security, Inc.","APL ACCESS & SECURITY, INC.",
944508394,Asset Security Tracking Recovery,"Asset Security Tracking Recovery, Llc.",ASSET SECURITY TRACKING RECOVE,
195970504,Sci,"Sci, Inc.","SCI, INC.",
73351538,Ace Parking Management,"Ace Parking Management, Inc.","ACE PARKING MANAGEMENT, INC.",
622814648,Federal Lock and Safe,"Federal Lock and Safe, Incorporated","FEDERAL LOCK AND SAFE, INCORPORATED",
969239529,Callyo 2009,Callyo 2009 Corp.,CALLYO 2009 CORP.,
968058177,Shore Solutions,"Shore Solutions, Inc.","SHORE SOLUTIONS, INC.",
165449872,JDL Digital Systems,"Jdl Digital Systems, Inc.",JDL DIGITAL SYSTEMS INC,
20141404,City of Mesa,City of Mesa,"MESA, CITY OF",
80524318,Tech Ops Specialty Vehicles,Tech Ops Specialty Vehicles LLC,TECHOPS SPECIALTY VEHICLES LLC,
9307336,Benchmark Filing & Shelving Systems,Benchmark Filing & Shelving Systems,BENCHMARK FILING & SHEVLING SYSTEMS,
27541754,Kel-Tech Plastics,"Kel-Tech Plastics, Inc.","KEL-TECH PLASTICS, INC.",
828604871,Anthony Ibeagha,Anthony Ibeagha,"IBEAGHA, ANTHONY",
87701231,Comprehensive Health Services,"Comprehensive Health Services, Inc.","COMPREHENSIVE HEALTH SERVICES, INC.",
70622857,Sonitrol Security Services,"Sonitrol Security Services, Inc.","SONITROL SECURITY SERVICES, INC.",
790784474,Time Warner Cable Enterprises,Time Warner Cable Enterprises LLC,TIME WARNER CABLE ENTERPRISES LLC,
80540981,Michael C MacQueen,Michael C Macqueen,"MACQUEEN, MICHAEL C",
138619452,Astrophysics,Astrophysics Inc.,ASTROPHYSICS INC.,
121016844,Sentry Air Systems,"Sentry Air Systems, Inc.","SENTRY AIR SYSTEMS, INC.",
132095394,Government Training Institute,"Government Training Institute, Inc.","GOVERNMENT TRAINING INSTITUTE, INC.",
3137015,Virginia Polytechnic Institute & State University,Virginia Polytechnic Institute & State University,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,
96571862,Seikosoft,"SEIKOSOFT, LLC","SEIKOSOFT, LLC",
78689554,Norfolk Safe Company,Norfolk Safe Company,NORFOLK SAFE COMPANY,
42557936,Heuresis,Heuresis Corp,HEURESIS CORP,
619777097,Unlimited Storage,Unlimited Storage Inc,UNLIMITED STORAGE INC,www.simplyss.com
806647801,Federal Resources Supply Company,Federal Resources Supply Company,FEDERAL RESOURCES SUPPLY COMPANY,
153956417,GPS Intelligence,Gps Intelligence LLC,GPS INTELLIGENCE LLC,
5069760,Cummins - Allison,Cummins - Allison Corp.,CUMMINS-ALLISON CORP.,
43329327,Huron Valley Guns,HURON VALLEY GUNS,HURON VALLEY GUNS,www.huronvalleyguns.com
95347159,Ernst & Young,Ernst & Young LLP,ERNST & YOUNG LLP,
80001807,Magnet Forensics Usa,"Magnet Forensics Usa, Inc.","MAGNET FORENSICS USA, INC.",
78855857,Point Blank Enterprises,"Point Blank Enterprises, Inc.","POINT BLANK ENTERPRISES, INC.",
168563794,Midwest Rescue Products,"MIDWEST RESCUE PRODUCTS, INC.","MIDWEST RESCUE PRODUCTS, INC.",http://www.mwrescue.com
13814426,Guidance Software,"Guidance Software, Inc.","GUIDANCE SOFTWARE, INC.",
79453470,Vound Colorado,"Vound Colorado, Ltd.","VOUND COLORADO, LTD.",
171852098,Service Works,Service Works Inc.,"SERVICE WORKS, INC.",
8299393,Advanced Marketing & Sales Associates,Advanced Marketing & Sales Associates,ADVANCED MARKETING & SALES ASSOCIATES,
623591174,Safari Books Online,"Safari Books Online, LLC","SAFARI BOOKS ONLINE, LLC",
788828457,Weidenbenner Marketing Associates,"Weidenbenner Marketing Associates, Inc.","WEIDENBENNER MARKETING ASSOCIATES, INC.",
90111733,Caribbean School,Caribbean School Inc.,CARIBBEAN SCHOOL INC.,
792851032,The Palmas Academy,The Palmas Academy Inc,THE PALMAS ACADEMY INC,
101474992,Harris Corporation,Harris Corporation,HARRIS CORPORATION,
81154401,"Seneviratne, Anusha","Seneviratne, Anusha","SENEVIRATNE, ANUSHA",
25761714,Electronic Risks Consultants,"Electronic Risks Consultants, Inc","ELECTRONIC RISKS CONSULTANTS, INC",
87403499,Adorama,Adorama Inc.,ADORAMA INC.,
79827246,Chainalysis,Chainalysis Inc.,CHAINALYSIS INC.,
128990368,Amazon.Com,Amazon.Com LLC,AMAZON.COM LLC,
556820459,Acams,Acams Inc,ACAMS INC,
192372860,L3 Technologies,"L3 Technologies, Inc.","L3 TECHNOLOGIES, INC.",
958313769,Sandoval Custom Creations,"Sandoval Custom Creations, Inc.","SANDOVAL CUSTOM CREATIONS, INC.",
14197144,Trimech Solutions,"Trimech Solutions, LLC","TRIMECH SOLUTIONS, LLC",
184575108,Harris Corporation,Harris Corporation,HARRIS CORPORATION,
101760734,Research Electronics International,"Research Electronics International, LLC","RESEARCH ELECTRONICS INTERNATIONAL, L.L.C.",
799056143,Tenergy Corporation,Tenergy Corporation,TENERGY CORPORATION,
27079776,Atlantic Diving Supply,"Atlantic Diving Supply, Inc.","ATLANTIC DIVING SUPPLY, INC.",
80040706,Amped Software,AMPED SOFTWARE INC.,AMPED SOFTWARE INC.,
71017115,Fedcap Rehabilitation Services,"Fedcap Rehabilitation Services, Inc.","FEDCAP REHABILITATION SERVICES, INC.",
5029718,Spot,Spot LLC,SPOT LLC,
96873760,"Crime Information Center, Arkansas","Crime Information Center, Arkansas",CRIME INFORMATION CENTER ARKANSAS,
33174293,Alert Holdings Group,"Alert Holdings Group, Inc.","ALERT HOLDINGS GROUP, INC.",
134120422,Marquis Consulting Services,Marquis Consulting Services Inc.,"MARQUIS CONSULTING SERVICES, INC.",
968908124,Progend,PROGEND INC,PROGEND INC,
85783707,Digital Intelligence,"Digital Intelligence, Inc.","DIGITAL INTELLIGENCE, INC.",
60643533,Young Scale Co.,"Young Scale Co., LLC","YOUNG SCALE CO., LLC",
85189089,Cowboy Streetlight Concealments,COWBOY STREETLIGHT CONCEALMENTS LLC,COWBOY STREETLIGHT CONCEALMENTS LLC,
350663899,Safer Society Group Sweden,Safer Society Group Sweden AB,SAFER SOCIETY GROUP SWEDEN AB,
26157235,CDW Government,Cdw Government LLC,CDW GOVERNMENT LLC,
783014954,Advanced Defense Technologies,Advanced Defense Technologies Inc.,ADVANCED DEFENSE TECHNOLOGIES INC.,
79331239,Vista Outdoor Sales,Vista Outdoor Sales LLC,VISTA OUTDOOR SALES LLC,
198350394,Umbc Training Centers,Umbc Training Centers LLC,UMBC TRAINING CENTERS LLC,
129133893,Linkedin Corporation,Linkedin Corporation,LINKEDIN CORPORATION,
790818772,Allclear Id,"Allclear Id, Inc.","ALLCLEAR ID, INC.",
624408167,JDG Associates,"JDG Associates, Inc.","JDG ASSOCIATES, INC.",
194508131,M. L. Benjamin Enterprises,M. L. Benjamin Enterprises Inc.,M. L. BENJAMIN ENTERPRISES INC.,
54038138,Knight’S Armament Company,KNIGHT'S ARMAMENT COMPANY,KNIGHT'S ARMAMENT COMPANY,www.knightarmco.com
128159105,Grant Thornton,Grant Thornton LLP,GRANT THORNTON LLP,
